Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,6.063100,6.125800,6.055500,6.060400,6.060400,0
2019-08-16,6.107400,6.132900,6.091700,6.107100,6.107100,0
2019-08-19,6.108800,6.112100,6.065600,6.108500,6.108500,0
2019-08-20,6.068400,6.114000,6.065800,6.067000,6.067000,0
2019-08-21,6.088000,6.099100,6.068100,6.088300,6.088300,0
2019-08-22,6.063900,6.076100,6.049300,6.060600,6.060600,0
2019-08-23,6.064200,6.078400,6.045200,6.063600,6.063600,0
2019-08-26,6.034100,6.096600,6.030200,6.032000,6.032000,0
2019-08-27,6.095200,6.106200,6.073700,6.093700,6.093700,0
2019-08-28,6.084600,6.098400,6.067000,6.084000,6.084000,0
2019-08-29,6.090900,6.126800,6.079300,6.092000,6.092000,0
2019-08-30,6.122700,6.142600,6.106000,6.122900,6.122900,0
2019-09-02,6.128700,6.140200,6.103900,6.129300,6.129300,0
2019-09-03,6.115300,6.167000,6.101300,6.113900,6.113900,0
2019-09-04,6.158400,6.168200,6.135700,6.157400,6.157400,0
2019-09-05,6.137000,6.156200,6.117600,6.134800,6.134800,0
2019-09-06,6.136100,6.166500,6.132500,6.135600,6.135600,0
2019-09-09,6.146500,6.156600,6.121300,6.147900,6.147900,0
2019-09-10,6.124100,6.165500,6.112800,6.125500,6.125500,0
2019-09-11,6.137500,6.167200,6.129200,6.134200,6.134200,0
2019-09-12,6.151400,6.186400,6.138800,6.152500,6.152500,0
2019-09-13,6.154900,6.184700,6.142900,6.159500,6.159500,0
2019-09-16,6.137500,6.178800,6.132500,6.138600,6.138600,0
2019-09-17,6.147000,6.148200,6.114900,6.147000,6.147000,0
2019-09-18,6.126800,6.132200,6.100500,6.126500,6.126500,0
2019-09-19,6.104000,6.105800,6.030200,6.105700,6.105700,0
2019-09-20,6.091400,6.135900,6.080900,6.095100,6.095100,0
2019-09-23,6.133100,6.167800,6.123200,6.133300,6.133300,0
2019-09-24,6.124700,6.146300,6.112200,6.125500,6.125500,0
2019-09-25,6.124700,6.136700,6.089100,6.124400,6.124400,0
2019-09-26,6.109900,6.146500,6.102700,6.110600,6.110600,0
2019-09-27,6.130400,6.153400,6.119600,6.131400,6.131400,0
2019-09-30,6.132500,6.143900,6.119000,6.131700,6.131700,0
2019-10-01,6.141800,6.149600,6.093800,6.137900,6.137900,0
2019-10-02,6.120000,6.131000,6.099200,6.119800,6.119800,0
2019-10-03,6.122800,6.151700,6.119900,6.122300,6.122300,0
2019-10-04,6.150000,6.165600,6.145200,6.148200,6.148200,0
2019-10-07,6.148400,6.160800,6.132300,6.149300,6.149300,0
2019-10-08,6.146500,6.178100,6.143700,6.149500,6.149500,0
2019-10-09,6.164200,6.186100,6.158000,6.162500,6.162500,0
2019-10-10,6.159500,6.182700,6.150500,6.159700,6.159700,0
2019-10-11,6.165100,6.186400,6.159800,6.166300,6.166300,0
2019-10-14,6.172862,6.175279,6.148600,6.172900,6.172900,0
2019-10-15,6.168500,6.189900,6.157300,6.170500,6.170500,0
2019-10-16,6.164448,6.199524,6.145600,6.163300,6.163300,0
2019-10-17,6.197679,6.268200,6.194100,6.199256,6.199256,0
2019-10-18,6.266196,6.291443,6.262300,6.266429,6.266429,0
2019-10-21,6.272838,6.292060,6.252700,6.272700,6.272700,0
2019-10-22,6.275000,6.286997,6.260800,6.274881,6.274881,0
2019-10-23,6.272542,6.288700,6.255900,6.272978,6.272978,0
2019-10-24,6.250600,6.251997,6.212747,6.250800,6.250800,0
2019-10-25,6.232973,6.283600,6.224000,6.231463,6.231463,0
2019-10-28,6.271700,6.299709,6.256600,6.271600,6.271600,0
2019-10-29,6.304800,6.371869,6.300764,6.304412,6.304412,0
2019-10-30,6.326415,6.352292,6.317983,6.325600,6.325600,0
2019-10-31,6.330030,6.357941,6.323900,6.327947,6.327947,0
2019-11-01,6.335900,6.346646,6.279456,6.334300,6.334300,0
2019-11-04,6.286645,6.299332,6.273400,6.285127,6.285127,0
2019-11-05,6.292340,6.335800,6.280600,6.292900,6.292900,0
2019-11-06,6.320043,6.342205,6.295592,6.319678,6.319678,0
2019-11-07,6.303800,6.311125,6.262646,6.304852,6.304852,0
2019-11-08,6.282347,6.291796,6.265600,6.282400,6.282400,0
2019-11-11,6.266200,6.285688,6.255100,6.265800,6.265800,0
2019-11-12,6.248800,6.273651,6.241400,6.249400,6.249400,0
2019-11-13,6.268778,6.298175,6.258200,6.268100,6.268100,0
2019-11-14,6.280624,6.281400,6.214200,6.280065,6.280065,0
2019-11-15,6.216700,6.222800,6.180000,6.221537,6.221537,0
2019-11-18,6.190300,6.212334,6.178800,6.190500,6.190500,0
2019-11-19,6.200954,6.234634,6.188300,6.200900,6.200900,0
2019-11-20,6.231395,6.265410,6.209000,6.230500,6.230500,0
2019-11-21,6.206100,6.223597,6.190400,6.202500,6.202500,0
2019-11-22,6.204192,6.222530,6.188971,6.207000,6.207000,0
2019-11-25,6.219300,6.236870,6.202300,6.219400,6.219400,0
2019-11-26,6.222200,6.228678,6.198900,6.221900,6.221900,0
2019-11-27,6.221265,6.229800,6.210500,6.219787,6.219787,0
2019-11-28,6.203600,6.223506,6.191800,6.201000,6.201000,0
2019-11-29,6.202846,6.233579,6.198300,6.201709,6.201709,0
2019-12-02,6.228900,6.247512,6.224500,6.227612,6.227612,0
2019-12-03,6.250700,6.290390,6.248200,6.251274,6.251274,0
2019-12-04,6.291400,6.292800,6.265400,6.289700,6.289700,0
2019-12-05,6.273100,6.278368,6.235400,6.273700,6.273700,0
2019-12-06,6.244925,6.260000,6.235100,6.243500,6.243500,0
2019-12-09,6.237918,6.249711,6.231400,6.238045,6.238045,0
2019-12-10,6.244200,6.265641,6.233500,6.242767,6.242767,0
2019-12-11,6.249962,6.281800,6.244100,6.246500,6.246500,0
2019-12-12,6.253800,6.281428,6.253800,6.257220,6.257220,0
2019-12-13,6.260929,6.263413,6.206900,6.260631,6.260631,0
2019-12-16,6.205400,6.215565,6.186100,6.205066,6.205066,0
2019-12-17,6.196554,6.199300,6.168331,6.194300,6.194300,0
2019-12-18,6.179900,6.195943,6.171000,6.182800,6.182800,0
2019-12-19,6.175200,6.192410,6.149500,6.172177,6.172177,0
2019-12-20,6.177080,6.198489,6.169600,6.177200,6.177200,0
2019-12-23,6.193400,6.208154,6.177100,6.191700,6.191700,0
2019-12-24,6.201780,6.204495,6.167000,6.200800,6.200800,0
2019-12-25,6.168700,6.191000,6.159500,6.168900,6.168900,0
2019-12-26,6.168689,6.172176,6.156300,6.170415,6.170415,0
2019-12-27,6.169268,6.182701,6.147059,6.167505,6.167505,0
2019-12-30,6.150793,6.169284,6.137300,6.149453,6.149453,0
2019-12-31,6.173249,6.181299,6.153100,6.171671,6.171671,0
2020-01-01,6.113260,6.145830,5.896750,6.095200,6.095200,0
2020-01-02,6.156300,6.160230,6.128670,6.156500,6.156500,0
2020-01-03,6.140600,6.142300,6.118565,6.138500,6.138500,0
2020-01-06,6.136400,6.147500,6.095800,6.134207,6.134207,0
2020-01-07,6.098967,6.101209,6.047700,6.096100,6.096100,0
2020-01-08,6.075700,6.098300,6.067300,6.076500,6.076500,0
2020-01-09,6.093100,6.105379,6.080700,6.094469,6.094469,0
2020-01-10,6.084514,6.135300,6.081200,6.084006,6.084006,0
2020-01-13,6.131300,6.150200,6.127600,6.133700,6.133700,0
2020-01-14,6.129077,6.143090,6.118400,6.132127,6.132127,0
2020-01-15,6.118200,6.128900,6.099800,6.119100,6.119100,0
