Date,Close,High,Low,Open,Volume
09/07/2021,142.0074005,142.5358482,139.5999913,139.6978591,99890800
12/07/2021,141.4104309,143.1915245,140.9211215,143.0838758,76299700
13/07/2021,142.5260468,144.3071402,140.5590283,140.9504698,100827100
14/07/2021,145.9609985,146.3720316,144.5224276,144.9334607,127050800
15/07/2021,145.3053436,146.7928487,143.9450638,146.0491036,106820300
16/07/2021,143.2600098,146.5579504,142.7609195,145.2857579,93251400
19/07/2021,139.4042664,140.9896392,138.6409448,140.676474,121434600
20/07/2021,143.0251465,143.9548464,139.9033647,140.3926742,96350000
21/07/2021,142.2911682,143.0055707,141.5376425,142.4183934,74993500
22/07/2021,143.6612549,145.0313153,142.6924168,142.819642,77338200
23/07/2021,145.3835907,145.5401733,143.7786566,144.3951912,71447400
26/07/2021,145.8044586,146.626495,144.5420317,145.0998517,72434100
27/07/2021,143.6319122,146.0197449,142.4379959,145.9316579,104818600
28/07/2021,141.8802032,143.8276608,139.4923701,141.7138398,118931200
29/07/2021,142.5260468,143.4165935,141.4887132,141.5963618,56699500
30/07/2021,142.7413788,143.2013309,141.0287954,141.2930267,70440600
02/08/2021,142.4086304,143.8080483,142.1443991,143.2306667,62880000
03/08/2021,144.2093048,144.8747586,142.0759075,142.6924423,64786600
04/08/2021,143.8080597,144.6300961,143.1523868,144.1212249,56368300
05/08/2021,143.9156799,144.6790014,143.0447098,143.8373886,46397700
06/08/2021,143.2296448,144.1803286,142.7298067,143.4354692,54126800
09/08/2021,143.1806488,143.7785014,142.622008,143.2884588,48908700
10/08/2021,142.7004089,144.7683893,142.4063804,143.5236769,69023100
11/08/2021,142.9552612,143.7981353,142.6318312,143.1414799,48493500
12/08/2021,145.9248962,146.0817135,142.9356332,143.278669,72282600
13/08/2021,146.130722,146.4639475,145.3172495,146.0033062,59375000
16/08/2021,148.1104736,148.1790868,143.5530833,145.581852,103296000
17/08/2021,147.1989746,148.6592917,146.1208751,147.2381714,92229700
18/08/2021,143.4452667,147.7184387,143.2394423,146.8167621,86326000
19/08/2021,143.7784882,145.0526018,141.6223038,142.1417478,86960300
20/08/2021,145.2388611,145.5426852,143.856937,144.503797,60549600
23/08/2021,146.7285614,147.1989981,144.9447992,145.3564332,60131800
24/08/2021,146.6403503,147.8556614,146.1797091,146.4737376,48606400
25/08/2021,145.4054718,147.3264458,144.8566264,146.8265927,58991300
26/08/2021,144.6017761,146.1503127,144.5723748,145.3956578,48597200
27/08/2021,145.640686,145.7876929,143.9059308,144.5429803,55802400
30/08/2021,150.0706635,150.4333052,145.6504839,146.0327166,90956700
31/08/2021,148.8063202,149.7570039,148.2770659,149.6197926,86453100
01/09/2021,149.4727631,151.8935743,149.3061504,149.7863975,80313700
02/09/2021,150.5900879,151.6387863,149.3649814,150.8057078,71115500
03/09/2021,151.2271729,151.5506028,150.041263,150.6979184,57808700
07/09/2021,153.5695496,154.1281903,151.3153507,151.8838019,82278300
08/09/2021,152.0210266,153.912584,150.9135255,153.8537813,74420200
09/09/2021,151.0017242,153.0010913,150.8841039,152.3934433,57305700
10/09/2021,146.0032806,152.3836293,145.7386535,151.9131927,140893200
13/09/2021,146.5717468,148.4045014,145.7876757,147.6302407,102404300
14/09/2021,145.1702423,148.0615062,143.9843474,147.3558435,109296300
15/09/2021,146.0621185,146.4639571,143.4550879,145.6014772,83281300
16/09/2021,145.8268738,146.0032969,144.2881478,145.4838529,68034100
17/09/2021,143.1512451,145.8562899,142.8572166,145.8562899,129868800
20/09/2021,140.0933838,141.9555397,138.4566433,140.9362577,123478900
21/09/2021,140.5736084,141.7203212,139.936559,141.063651,75834000
22/09/2021,142.9454193,143.5138555,140.8382274,141.5732912,76404300
23/09/2021,143.9059296,144.1509509,142.7396256,143.7295064,64838200
24/09/2021,143.9941101,144.5331599,142.6611937,142.7592082,53477900
27/09/2021,142.4750061,143.0532678,140.9558857,142.5730206,74150700
28/09/2021,139.0839081,141.8673467,138.8682881,140.3972188,108972300
29/09/2021,139.9855652,141.5732984,139.2014941,139.6327339,74602000
30/09/2021,138.6820526,141.5047027,138.4664327,140.7990402,89056700
01/10/2021,139.8091431,140.0737702,136.3396482,139.0740792,94639600
04/10/2021,136.3690186,139.3778865,135.5163494,138.9368363,98322000
05/10/2021,138.2997894,139.4072902,136.5846407,136.7120566,80861100
06/10/2021,139.1721344,139.3191412,135.6144194,136.6925194,83221100
07/10/2021,140.4363861,141.347873,139.8777454,140.2109707,61732700
08/10/2021,140.0541687,141.3086766,139.7209433,141.1616698,58773200
11/10/2021,139.9659576,141.9261279,138.9858725,139.4367182,64452200
12/10/2021,138.6918488,140.3972024,138.2312075,140.3775965,73035900
13/10/2021,138.1038055,138.5840377,136.4278533,138.4272354,78762700
14/10/2021,140.8970642,141.0146846,138.6918722,139.2799294,69907100
